原表行号,订单ID,下单日期,客户ID,省份,城市,商品类别,商品名称,数量,单价,折扣,支付方式,订单状态,客户评价,订单ID出现次数,下单日期_标准化,日期异常类型,客户ID_标准化,省份_标准化,城市_标准化,客户地区异常类型,商品类别_标准化,商品类别异常类型,数量_标准化,数量异常类型,单价_标准化,单价异常类型,折扣_标准化,折扣异常类型,支付方式_标准化,支付方式异常类型,订单状态_标准化,订单状态异常类型,销售额
117,OD202500116,45799,C1024,浙江, 宁波 ,家居,收纳盒,2.0,583.7,0.15,支付宝,已完成,质量差，不推荐,1,2025-05-22,,C1024,浙江,宁波,,家居,,2.0,,583.7,,0.15,,支付宝,,已完成,,992.2900000000001
118,OD202500117,45782,C1016,山东,青岛,服装,短袖T恤,2.0,535.02,0.3,微信,待发货,东西很好用,1,2025-05-05,,C1016,山东,青岛,,服装,,2.0,,535.02,,0.3,,微信支付,,待发货,,749.0279999999999
119,OD202500118,45963,C1000,广东,广州,服装,牛仔裤,,721.69,0,支付宝,已取消,质量很好，下次还会买,1,2025-11-02,,C1000,广东,广州,,服装,,,数量缺失,721.69,,0.0,,支付宝,,已取消,,
120,OD202500119,2025/07/03,C1030,山东,青岛,食品,坚果礼盒,1.0,252.52,0,信用卡,退货中,客服态度很好,1,2025-07-03,,C1030,山东,青岛,,食品,,1.0,,252.52,,0.0,,信用卡,,退货中,,252.52
121,OD202500120,45690,C1060,湖北,武汉,食品,酸奶,1.0,416.76,1.2,货到付款,已完成,无,1,2025-02-02,,C1060,湖北,武汉,,食品,,1.0,,416.76,,0.12,,货到付款,,已完成,,366.7488
122,OD202500121,45812,C1058,浙江,杭州,数码,智能手表,4.0,394.12,0,信用卡,已退款,性价比不错，推荐,1,2025-06-04,,C1058,浙江,杭州,,数码,,4.0,,394.12,,0.0,,信用卡,,,订单状态无法识别,1576.48
123,OD202500122,45699,C1041,山东,青岛,服装,短袖T恤,1.0,261.01,0.2,货到付款,退货中,质量差，不推荐,1,2025-02-11,,C1041,山东,青岛,,服装,,1.0,,261.01,,0.2,,货到付款,,退货中,,208.808
124,OD202500123,2025-13-01,C1076,北京,北京,食品,牛肉干,4.0,106.28,0.2,支付宝,退货中,一般般,1,,非法日期,C1076,北京,北京,,食品,,4.0,,106.28,,0.2,,支付宝,,退货中,,340.096
125,OD202500124,45878,C1057,上海,上海,家居用品,床上四件套,5.0,369.88,0.2,支付宝,cancelled,颜色和图片不一样,1,2025-08-09,,C1057,上海,上海,,家居,,5.0,,369.88,,0.2,,支付宝,,,订单状态无法识别,1479.5200000000002
126,OD202500125,45818,C1085,广东,广州,食品,速溶咖啡,5.0,78.08,0.3,支付宝,已完成,颜色和图片不一样,1,2025-06-10,,C1085,广东,广州,,食品,,5.0,,78.08,,0.3,,支付宝,,已完成,,273.28
127,OD202500126,45707,C1095,广东,深圳,服装,防晒衣,1.0,535.09,0.15,货到付款,待发货,客服态度很好,1,2025-02-19,,C1095,广东,深圳,,服装,,1.0,,535.09,,0.15,,货到付款,,待发货,,454.8265
128,OD202500127,45868,C1045,四川,成都,数码,移动电源,2.0,328.45,0.15,货到付款,已取消,东西很好用,1,2025-07-30,,C1045,四川,成都,,数码,,2.0,,328.45,,0.15,,货到付款,,已取消,,558.365
129,OD202500128,45994,C1061,上海,上海,数码,移动电源,3.0,120.1,0.05,货到付款,已取消,颜色和图片不一样,1,2025-12-03,,C1061,上海,上海,,数码,,3.0,,120.1,,0.05,,货到付款,,已取消,,342.28499999999997
130,OD202500129,45945,C1098,山东,青岛,美妆,香水,1.0,554.92,0.2,银行卡,已完成,还可以,1,2025-10-15,,C1098,山东,青岛,,美妆,,1.0,,554.92,,0.2,,银行卡,,已完成,,443.936
131,OD202500130,45797,C1089,广东,广州,食品,饼干,1.0,178.64,0,货到付款,已退款,性价比不错，推荐,1,2025-05-20,,C1089,广东,广州,,食品,,1.0,,178.64,,0.0,,货到付款,,,订单状态无法识别,178.64
132,OD202500131,45730,C1094,浙江,杭州,数码,无线鼠标,2.0,350.05,0.1,银行卡,已取消,发货太慢了,1,2025-03-14,,C1094,浙江,杭州,,数码,,2.0,,350.05,,0.1,,银行卡,,已取消,,630.09
133,OD202500132,45817,C1092,广东,深圳,美妆,香水,1.0,,0,wx,退货中,物流很快，包装完整,1,2025-06-09,,C1092,广东,深圳,,美妆,,1.0,,,单价缺失,0.0,,,支付方式无法识别,退货中,,
134,OD202500133,46003,C1010,广东,广州,家居,电热水壶,5.0,553.23,0.1,银行卡,已取消,无,1,2025-12-12,,C1010,广东,广州,,家居,,5.0,,553.23,,0.1,,银行卡,,已取消,,2489.5350000000003
135,OD202500134,45716,C1044,四川,成都,数码,移动电源,5.0,482.7,0.05,支付宝,已取消,包装破损,1,2025-02-28,,C1044,四川,成都,,数码,,5.0,,482.7,,0.05,,支付宝,,已取消,,2292.825
136,OD202500135,45964,C1007,浙江,杭州,服装,运动鞋,2.0,694.27,30%,银行卡,待发货,质量差，不推荐,1,2025-11-03,,C1007,浙江,杭州,,服装,,2.0,,694.27,,0.3,,银行卡,,待发货,,971.978
137,OD202500136,2025/03/03,C1000,湖北,武汉,家居,台灯,-1.0,353.58,0.2,微信,退货中,？？？,1,2025-03-03,,C1000,湖北,武汉,,家居,,,数量非正数,353.58,,0.2,,微信支付,,退货中,,
138,OD202500137,46000,C1045,浙江,宁波,家居,收纳盒,4.0,35.49,0,银行卡,退货中,颜色和图片不一样,1,2025-12-09,,C1045,浙江,宁波,,家居,,4.0,,35.49,,0.0,,银行卡,,退货中,,141.96
139,OD202500138,2025年10月21日,C1051,四川,成都,食品,坚果礼盒,0.0,37.35,0.05,微信,退货中,用了两天就坏了,1,2025-10-21,,C1051,四川,成都,,食品,,,数量非正数,37.35,,0.05,,微信支付,,退货中,,
140,OD202500139,46011,C1046,浙江,宁波,家居,收纳盒,2.0,402.4,0.1,货到付款,已完成,包装破损,1,2025-12-20,,C1046,浙江,宁波,,家居,,2.0,,402.4,,0.1,,货到付款,,已完成,,724.3199999999999
141,OD202500140,45816,C1095,广东,深圳,服装,运动鞋,1.0,￥86.21,0.2,支付宝,完成,无,1,2025-06-08,,C1095,广东,深圳,,服装,,1.0,,,单价格式错误,0.2,,支付宝,,已完成,,
142,OD202500141,45757,C1099,,深圳,食品,速溶咖啡,2.0,109.47,0.05,微信,已取消,,1,2025-04-10,,C1099,,深圳,省份缺失,食品,,2.0,,109.47,,0.05,,微信支付,,已取消,,207.993
143,OD202500142,45736,C1097,浙江,宁波,服装,卫衣,5.0,682.91,0.3,货到付款,已退款,评价返现,1,2025-03-20,,C1097,浙江,宁波,,服装,,5.0,,682.91,,0.3,,货到付款,,,订单状态无法识别,2390.1849999999995
144,OD202500143,45987,C1081,山东,青岛,食品,饼干,1.0,405.99,0.1,信用卡,待发货,和描述基本一致,1,2025-11-26,,C1081,山东,青岛,,食品,,1.0,,405.99,,0.1,,信用卡,,待发货,,365.391
145,OD202500144,45960,C1007,广东,深圳,美妆,口红,2.0,5103.96,0,支付宝,待发货,价格正常,2,2025-10-30,,C1007,广东,深圳,,美妆,,2.0,,5103.96,,0.0,,支付宝,,待发货,,10207.92
146,OD202500144,45697,C1082,浙江, 宁波 ,美妆,香水,4.0,426.19,0.15,支付宝,已退款,评价返现,2,2025-02-09,,C1082,浙江,宁波,,美妆,,4.0,,426.19,,0.15,,支付宝,,,订单状态无法识别,1449.046
147,OD202500146,45991,C1024,广东,深圳,美妆,防晒霜,1.0,861.8,0.1,支付宝,待发货,性价比不错，推荐,1,2025-11-30,,C1024,广东,深圳,,美妆,,1.0,,861.8,,0.1,,支付宝,,待发货,,775.62
148,OD202500147,45916,C1082,江苏,南京,数码,机械键盘,5.0,891.07,0.15,,退货中,还可以,1,2025-09-16,,C1082,江苏,南京,,数码,,5.0,,891.07,,0.15,,,支付方式缺失,退货中,,3787.0475
149,OD202500148,45844,,广东,广州,家居,电热水壶,3.0,616.43,0,银行卡,已完成,质量差，不推荐,1,2025-07-06,,,广东,广州,客户ID缺失,家居,,3.0,,616.43,,0.0,,银行卡,,已完成,,1849.29
150,OD202500149,45706,C1071,四川,成都,食品,饼干,1.0,312.36,0.15,微信,待发货,价格正常,1,2025-02-18,,C1071,四川,成都,,食品,,1.0,,312.36,,0.15,,微信支付,,待发货,,265.50600000000003
151,OD202500150,45993,C1089,四川,成都,服装,防晒衣,1.0,291.43,0.1,银行卡,已取消,无,1,2025-12-02,,C1089,四川,成都,,服装,,1.0,,291.43,,0.1,,银行卡,,已取消,,262.28700000000003
152,OD202500151,45705,C1082,四川,成都,美妆,洗面奶,1.0,338.09,0,微信,待发货,11111,1,2025-02-17,,C1082,四川,成都,,美妆,,1.0,,338.09,,0.0,,微信支付,,待发货,,338.09
153,OD202500152,45756,C1028,江苏,南京,服装,短袖T恤,2.0,762.1,0,货到付款,退货中,无,1,2025-04-09,,C1028,江苏,南京,,服装,,2.0,,762.1,,0.0,,货到付款,,退货中,,1524.2
154,OD202500153,2025/01/20,C1084,广东,深圳,美妆,面膜,4.0,154.74,0,货到付款,已取消,用了两天就坏了,1,2025-01-20,,C1084,广东,深圳,,美妆,,4.0,,154.74,,0.0,,货到付款,,已取消,,618.96
155,OD202500154,45680,C1052,广东,深圳,服装,卫衣,2.0,681.1,0.3,信用卡,已取消,？？？,1,2025-01-23,,C1052,广东,深圳,,服装,,2.0,,681.1,,0.3,,信用卡,,已取消,,953.54
156,OD202500155,45780,C1039,湖北,武汉,服 饰,运动鞋,5.0,425.28,0.05,信用卡,退货中,无,1,2025-05-03,,C1039,湖北,武汉,,,商品类别无法识别,5.0,,425.28,,0.05,,信用卡,,退货中,,2020.0799999999995
157,OD202500156,45872,C1020,上海,上海,美妆,面膜,2.0,64.92,0.1,银行卡,退货中,客服态度很好,1,2025-08-03,,C1020,上海,上海,,美妆,,2.0,,64.92,,0.1,,银行卡,,退货中,,116.85600000000001
158,OD202500157,45922,C1015,广东,广州,数码,机械键盘,2.0,414.4,0.15,微信,已退款,性价比不错，推荐,1,2025-09-22,,C1015,广东,广州,,数码,,2.0,,414.4,,0.15,,微信支付,,,订单状态无法识别,704.4799999999999
159,OD202500158,45771,C1057,广东,深圳,数码,智能手表,1.0,367.88,0.05,微信,已退款,性价比不错，推荐,1,2025-04-24,,C1057,广东,深圳,,数码,,1.0,,367.88,,0.05,,微信支付,,,订单状态无法识别,349.486
160,OD202500159,,C1028,浙江,杭州,食品,坚果礼盒,3.0,715.41,0,支付宝,待发货,11111,1,,缺失日期,C1028,浙江,杭州,,食品,,3.0,,715.41,,0.0,,支付宝,,待发货,,2146.23
161,OD202500160,46014,C1017,湖北,武汉,家居,抱枕,1.0,816.15,1.2,银行卡,已取消,东西很好用,1,2025-12-23,,C1017,湖北,武汉,,家居,,1.0,,816.15,,0.12,,银行卡,,已取消,,718.212
162,OD202500161,2025年10月08日,C1093,山东,青岛,美妆,防晒霜,1.0,702.03,0,银行卡,已完成,物流很快，包装完整,1,2025-10-08,,C1093,山东,青岛,,美妆,,1.0,,702.03,,0.0,,银行卡,,已完成,,702.03
163,OD202500162,45780,C1053,山东,青岛,家居,收纳盒,1.0,755.29,10%,货到付款,退货中,质量很好，下次还会买,1,2025-05-03,,C1053,山东,青岛,,家居,,1.0,,755.29,,0.1,,货到付款,,退货中,,679.761
164,OD202500163,45981,C1065,山东,青岛,服装,牛仔裤,2.0,396.73,0.15,银行卡,已取消,评价返现,1,2025-11-20,,C1065,山东,青岛,,服装,,2.0,,396.73,,0.15,,银行卡,,已取消,,674.441
165,OD202500164,2025-13-01,C1023,浙江,宁波,美妆,洗面奶,1.0,858,0.15,货到付款,退货中,？？？,1,,非法日期,C1023,浙江,宁波,,美妆,,1.0,,858.0,,0.15,,货到付款,,退货中,,729.3
166,OD202500165,45668,C1049,湖北,武汉,数码,智能手表,3.0,242.21,0,wx,已完成,发货太慢了,1,2025-01-11,,C1049,湖北,武汉,,数码,,3.0,,242.21,,0.0,,,支付方式无法识别,已完成,,726.63
167,OD202500166,45781,C1093,浙江,宁波,美妆,洗面奶,1.0,58.02,0.15,银行卡,已取消,用了两天就坏了,1,2025-05-04,,C1093,浙江,宁波,,美妆,,1.0,,58.02,,0.15,,银行卡,,已取消,,49.317
168,OD202500167,46014,C1061,江苏,南京,服装,短袖T恤,5.0,51.55,0,支付宝,已取消,物流很快，包装完整,1,2025-12-23,,C1061,江苏,南京,,服装,,5.0,,51.55,,0.0,,支付宝,,已取消,,257.75
169,OD202500168,45819,C1039,北京,北京,家居,抱枕,5.0,￥241.92,0.3,微信,待发货,发货太慢了,1,2025-06-11,,C1039,北京,北京,,家居,,5.0,,,单价格式错误,0.3,,微信支付,,待发货,,
170,OD202500169,45682,C1083,广东,深圳,食品,坚果礼盒,3.0,403.52,0.1,信用卡,已退款,质量差，不推荐,2,2025-01-25,,C1083,广东,深圳,,食品,,3.0,,403.52,,0.1,,信用卡,,,订单状态无法识别,1089.504
171,OD202500169,2025/04/06,C1063,湖北,武汉,食品,酸奶,-1.0,724.01,0.2,信用卡,已完成,颜色和图片不一样,2,2025-04-06,,C1063,湖北,武汉,,食品,,,数量非正数,724.01,,0.2,,信用卡,,已完成,,
172,OD202500171,45966,C1023,北京,北京,食品,饼干,1.0,89.46,,银行卡,待发货,用了两天就坏了,1,2025-11-05,,C1023,北京,北京,,食品,,1.0,,89.46,,,折扣缺失,银行卡,,待发货,,89.46
173,OD202500172,45966,C1091,四川,成都,服装,卫衣,3.0,412.47,0.2,银行卡,退货中,颜色和图片不一样,1,2025-11-05,,C1091,四川,成都,,服装,,3.0,,412.47,,0.2,,银行卡,,退货中,,989.9280000000001
174,OD202500173,45798,C1081,浙江,杭州,数码,智能手表,3.0,470.52,0.2,微信,已完成,东西很好用,1,2025-05-21,,C1081,浙江,杭州,,数码,,3.0,,470.52,,0.2,,微信支付,,已完成,,1129.248
175,OD202500174,45969,C1086,湖北, 武汉 ,数码,机械键盘,1.0,226.68,0.2,银行卡,待发货,包装破损,1,2025-11-08,,C1086,湖北,武汉,,数码,,1.0,,226.68,,0.2,,银行卡,,待发货,,181.34400000000002
176,OD202500175,45948,C1004,山东,青岛,服装,卫衣,3.0,346.37,0.3,支付宝,完成,东西很好用,1,2025-10-18,,C1004,山东,青岛,,服装,,3.0,,346.37,,0.3,,支付宝,,已完成,,727.3770000000001
177,OD202500176,45929,C1046,四川,成都,食品,饼干,2.0,,0,微信,已退款,无,1,2025-09-29,,C1046,四川,成都,,食品,,2.0,,,单价缺失,0.0,,微信支付,,,订单状态无法识别,
178,OD202500177,45856,C1071,浙江,宁波,食品,饼干,,207.82,0.15,银行卡,已退款,一般般,1,2025-07-18,,C1071,浙江,宁波,,食品,,,数量缺失,207.82,,0.15,,银行卡,,,订单状态无法识别,
179,OD202500178,45720,C1017,浙江,宁波,家居,台灯,5.0,896.59,0.3,银行卡,待发货,性价比不错，推荐,1,2025-03-04,,C1017,浙江,宁波,,家居,,5.0,,896.59,,0.3,,银行卡,,待发货,,3138.0649999999996
180,OD202500179,45939,C1069,广东,广州,食品,速溶咖啡,1.0,717.45,0.15,微信,已完成,一般般,1,2025-10-09,,C1069,广东,广州,,食品,,1.0,,717.45,,0.15,,微信支付,,已完成,,609.8325
181,OD202500180,45729,C1030,湖北,武汉,数码,移动电源,3.0,5163.84,0.15,微信,退货中,性价比不错，推荐,1,2025-03-13,,C1030,湖北,武汉,,数码,,3.0,,5163.84,,0.15,,微信支付,,退货中,,13167.792
